Antibody,HGNC_SYMBOL,Clone,Oligo_ID,Panel,Vendor,Cat_Number,RRID
GARP,LRRC32,7B11,AHS0126,197 ab,BD Biosciences,940217,AB_2876099
Her2,ERBB2,NEU 24.7,AHS0152,197 ab,BD Biosciences,940238,AB_2876119
HLA-ABC,HLA-A_B_C,G46-2.6,AHS0066,197 ab,BD Biosciences,940062,AB_2875953
HLA-DQ,HLA-DQA1_HLA-DQA2,Tu169,AHS0147,197 ab,BD Biosciences,940233,AB_2876114
HLA-DR,CD74,G46-6,AHS0035,197 ab,BD Biosciences,940010,AB_2875901
HLA-DR-DP-DQ,HLA-DR_HLA-DP_HLA-DQ,Tu39,AHS0149,197 ab,BD Biosciences,940235,AB_2876116
IgD,IGHD,IA6-2,AHS0058,197 ab,BD Biosciences,940026,AB_2875917
IgG,IGHG1_2_3_4,G18-145,AHS0059,197 ab,BD Biosciences,940027,AB_2875918
IgM,IGHM,G20-127,AHS0198,197 ab,BD Biosciences,940276,AB_2876154
IL-21R,IL21R,17A12,AHS0107,197 ab,BD Biosciences,940099,AB_2875990
ITGB7,ITGB7,FIB504,AHS0158,197 ab,BD Biosciences,940244,AB_2876125
KIR-NKAT2,KIR2DL2_KIR2DL3_KIR2DS2,DX27,AHS0209,197 ab,BD Biosciences,940287,AB_2876164
Lgr5:8F2,LGR5,8F2,AHS0233,197 ab,BD Biosciences,940308,AB_2876184
Ly-49C_Ly-49I,Klra3_Klra9,5E6,AMM2139,197 ab,BD Biosciences,940405,AB_2876268
MUC1,MUC1,HMFG2,AHS0247,197 ab,BD Biosciences,940317,AB_2876192
Notch1,NOTCH1,MHN1-519,AHS0214,197 ab,BD Biosciences,940292,AB_2876169
Notch3,NOTCH3,MHN3-21,AHS0221,197 ab,BD Biosciences,940298,AB_2876175
PDPN,PDPN,LpMab-17,AHS0192,197 ab,BD Biosciences,940270,AB_2876149
TCR-gamma_delta,TRG_TRD,11F2,AHS0142,197 ab,BD Biosciences,940365,AB_2876235
TCR-Vdelta2,TRDV2,B6,AHS0220,197 ab,BD Biosciences,940297,AB_2876174
TCR-Vgamma9,TRGV9,B3,AHS0218,197 ab,BD Biosciences,940295,AB_2876172
TCRab,TRA_TRB,IP26,AHS0078,197 ab,BD Biosciences,940074,AB_2875965
TCRgd,TRD_TRG,B1,AHS0015,197 ab,BD Biosciences,940057,AB_2875948
Tim3,HAVCR2,7D3,AHS0016,197 ab,BD Biosciences,940066,AB_2875957
